Question No.,Preclinical / Clinical,Difficulty Level,Question Stem,Answer Options ,Explanation
11,Clinical,Medium,"Jane is a 55 year old woman who comes in with frustrating hand pain and stiffness. She often finds she wakes up stiff in the morning and has to wait 20 minutes before she can do anything. She often finds herself exhausted and finds herself unable to do many of the things she used to enjoy. She finds the pain improves with paracetamol and ibuprofen.

She has a past history of vitiligo and type 1 diabetes.

Which of the following aspects of Jane’s history is least suggestive of a diagnosis of rheumatoid arthritis?","Select one:

a.
Past medical history of vitiligo and type 1 diabetes.



b.
Joint pain being relieved by paracetamol and nurofen


c.
Morning joint stiffness lasting 20 minutes


d.
Fatigue","Morning stiffness is a characteristic sign of rheumatoid arthritis (RA), however in her case she is only stiff for 20 minutes. Often over an hour is considered the classic stiffness of RA.

 

Distractors:

Past medical history of vitiligo and type 1 diabetes.–  These are both autoimmune conditions - a past history of autoimmune conditions may be suggestive of other autoimmune disease such as rheumatoid arthritis.

Joint pain being relieved by paracetamol and nurofen  – While RA is often not fully controlled by simple analgesia, they can offer some relief and is widely used by sufferers of the condition.

Fatigue – Fatigue is a common symptom of RA and is often reported to be one of the greatest challenges faced by sufferers. 




Click here or the image below to access the complete AMSA Rheumatoid Arthritis Fact Sheet




 

References:

https://www.urmc.rochester.edu/encyclopedia/content.aspx?ContentTypeID=85&ContentID=P01133
The correct answer is: Morning joint stiffness lasting 20 minutes"
12,Clinical,Medium,"Amanda is a 32-year-old female who presents to her GP with a fatigue, joint pain and a new rash. She has a polyarthritis affecting her hands, wrist and knees bilaterally with minimal swelling. The rash has presented as violaceous erythema with sharp borders affecting her central face and she has noticed it is particularly prominent after spending time in the sun. 

Which immunological test is most likely to yield a definitive diagnosis in this patient?
","Select one:

a.
ANA


b.
Anti-dsDNA


c.
Anti-SS-A (Ro)


d.
Anti-Cardiolipin


e.
Scl-70

","The correct answer is B. Anti-dsDNA

Anti-dsDNA is a highly specific autoimmune marker for SLE. Other specific antibodies for SLE include anti-Smith. Given the presentation of arthralgia, fatigue and a malar/butterfly rash in a young, female patient, SLE should be the most likely diagnosis to consider.

 

Distractors:

A. ANA – is positive in lots of conditions, not just SLE. These include scleroderma, Sjogren’s syndrome, polymyositis, dermatomyositis, rheumatoid arthritis, autoimmune hepatitis, Grave’s disease, Hashimoto’s thyroiditis and some infections. A percentage of the normal population also have a positive ANA. It is a good first line investigation in this patient but would not give a definitive diagnosis. 

C. Anti-SS-A – this test is specific for Sjogren’s syndrome. The typical presentation would include dry eyes and a dry mouth.

D. Anti-Cardiolipin – this may be positive in SLE but is not specific. It would also be positive in antiphospholipid syndrome which is characterised by arterial, venous or small vessel thromboembolic events and/or pregnancy morbidity (recurrent foetal loss).

E. Anti-Scl-70 – this antibody is specific to scleroderma which typically presents with thickened, hardened skin and Raynaud’s phenomenon.

 

References:

https://www.dermnetnz.org/topics/systemic-lupus-erythematosus/

https://www.racgp.org.au/afp/2013/october/systemic-lupus-erythmatosus/


The correct answer is: Anti-dsDNA"
13,Clinical,Medium,"Robert is an 80-year-old male who has come into the emergency department with a 2-day history of a swollen left knee. There was no preceding injury, and apart from the pain, Robert has had no other symptoms. He is a non-smoker, does not drink alcohol and his medical history only includes well-managed hypertension.  On examination he is afebrile and hemodynamically stable. When looking at his knee you see it is erythematous and doubled in size compared to the right side. It is warm to touch and tender on palpation and movement. To aid your diagnosis you perform a knee aspiration, which reveals positively-birefringent calcium pyrophosphate crystals. You start him on NSAIDs and reassure Robert that his condition will resolve.

In the meantime, which test would reveal the most common and likely cause of Robert’s condition?","Select one:

a.
DEXA Scan



b.
Iron Studies


c.
PTH Levels


d.
Serum Calcium


e.
X-Ray","The correct answer is E. X-Ray

Robert has presented with pseudogout (Calcium Pyrophosphate Deposition Disease). Pseudogout is caused by deposition of calcium pyrophosphate crystals in the joint space. This leads to an inflammatory response with subsequent release of inflammatory mediators within the joint space. It often affects the knees, wrists, MCPs, hips, shoulder’s, elbows and ankles. There is a spectrum of presentations including asymptomatic, acute crystal arthritis, pseudo-osteoarthritis and pseudo-rheumatoid arthritis. In this case there is a presentation of acute crystal deposition with pain, redness and joint swelling. Investigations involve joint aspiration and X-Ray. Treatment is rest and analgesia (NSAIDs). Risk factors include older age, osteoarthritis, hyperparathyroidism, hypothyroidism, hypophosphatasia, diabetes, haemochromatosis.

 

This question is asking for the most common cause of pseudogout in an older patient. The most common cause, especially in patients >60yo, is osteoarthritis. An X-Ray may show degenerative findings of osteoarthritis, including subchondral cysts, osteophytes and bone and cartilage fragmentation. Other, less common, causes are explored in the distractors.

 

Distractors:

A. DEXA Scan – a bone mineral density scan is used for detection and monitoring of osteoporosis, which his presenting complaint is not consistent with.

B. Iron Studies – haemochromatosis can also cause pseudogout, however, given Robert has no suggestive past history or current symptoms of this, this is less likely.

C. PTH Levels – hyperparathyroidism can cause pseudogout. A suggestive history may include renal calculi and minimal trauma fracture in a younger patient. 

D. Serum Calcium – hypercalcaemia would also be associated with hyperparathyroidism.

 

References:

UpToDate: Clinical manifestations and diagnosis of calcium pyrophosphate crystal deposition (CPPD) disease

https://www.racgp.org.au/afpbackissues/2008/200812/200812burnet.pdf


The correct answer is: X-Ray"
14,Clinical,Hard,"Larissa is a 46-year-old female who presents with complaint of severely cold fingers in winter. She notes they go blue, and then become a deep red.

Examination of her fingers reveals tight, stretched skin. You note, in your full examination, the presence of conjunctival pallor and tiny, thread-like red lesions on the lips. There are no other symptoms or signs on physical examination, with no evidence of any particular organ being involved.

Given the likely diagnosis, what antibody is most likely to be present?
","Select one:

a.
ANCA


b.
Anti-centromere


c.
Anti-dsDNA


d.
Anti-histone


e.
 Anti-Scl-70","Correct Answer – Anti-centromere (B)

Anti-centromere is the antibody which is positive in limited cutaneous scleroderma or CREST Syndrome, CREST being an acronym for the symptoms of calcinosis, Raynaud’s phenomenon, (o)esophageal disorders, sclerodactyly and telangiectasia.

In Larissa’s case, her described symptoms in her history are of Raynaud’s phenomenon, as well as likely sclerodactyly and telangiectatic lips. Raynaud’s phenomenon classically progresses from white fingertips/extremities, to blue, and then to red. We see a portion of this in Larissa’s complaints of her fingers going to blue and then red.

One way of remembering the relevant antibody is that this non-systemic “central” sclerosis is signified by anti-centromere antibody. On the other hand, if one sees “central” sclerosis as scleroderma, CREST syndrome might be “anti-central” and therefore “anti-centromere.”

 

Distractors:

A. ANCA is generally found in vasculitis syndromes such as Granulomatosis with Polyangiitis or Churg-Strauss – being ANCA positive vasculitides.

C. Anti-dsDNA is a specific marker for Systemic Lupus Erythematosus. The findings of tight skin and telangiectasia are not consistent with the clinical picture of SLE.

D. Anti-histone is a marker in Drug-induced SLE. Again, her symptoms are not consistent with SLE.

E. Anti-Scl-70 is typically found in Systemic Sclerosis, full-blown “Scleroderma.” Scleroderma will present with a number of symptoms outside of the classic CREST syndrome, including palpitations, cardiac arrhythmias and conduction abnormalities, diarrhoea/constipation, arthralgia, erectile dysfunction, and diffuse sclerosis of the skin. Given this patient has no other systemic symptoms or signs of organ involvement, CREST syndrome is more likely.

 

References:

https://www.labtestsonline.org.au/learning/test-index/anticentromere-antibody

https://emedicine.medscape.com/article/1064663-workup


The correct answer is: Anti-centromere"
15,Clinical,Hard,"Jenny is a 35-year-old female who recently immigrated to Australia from Barbados. She presents to you, her GP, with complaint of painful shins of 3 weeks duration. She has no relevant past medical history and has not been recently immobilised. She reports no respiratory symptoms or shortness of breath. Throughout the consult, you note she has a persistent, dry cough.

Examination reveals tender, red nodules bilaterally on the shins. Her vitals are within normal limits. On investigation, she has a raised serum calcium.

Given the most likely diagnosis, what will a chest X-ray likely reveal?

","Select one:

a.
Bilateral hilar lymphadenopathy



b.
Cavitating abscess



c.
Ghon complexes


d.
Hampton’s hump


e.
Kerley B lines","Correct Answer – Bilateral Hilar Lymphadenopathy (A)

 

Bilateral hilar lymphadenopathy is a classical finding that is present in sarcoidosis.

Sarcoidosis is suggested by the presence of a dry cough, as well as erythema nodosum, in a middle-aged woman (especially of Afro-Caribbean origin). This is further evidenced by the raised serum calcium.

Sarcoidosis is a disease involving abnormal collections of inflammatory cells which involves formation of granulomas. The main cell types noted are macrophages and T-cells, and granulomas can form in the respiratory tract, skin, heart, nervous system and gastrointestinal/genitourinary systems. This leads to sarcoidosis having a wide range of clinical manifestations, ranging from cough, pulmonary hypertension and interstitial lung disease to erythema nodosum and cranial nerve palsies.

Sarcoidosis is largely a diagnosis of exclusion and numerous strategies are involved to rule out other important differentials. These include CXR, CT chest/abdomen, as well as PET scans and lymphatic biopsies in some cases.

Treatment includes NSAIDs, steroids, and anti-metabolites or biologics in severe cases.

 

Distractors:

B. Cavitating abscess would be unlikely given her lack of systemic symptoms, such as fever, tachycardia, tachypnoea, or hypotension.

C. Ghon complexes are present in the case of tuberculosis, representing a calcific focus in the lung with an associated calcified (hilar) lymph node. She has few clinical signs for an episode of tuberculosis, including a lack of fevers, myalgias, night sweats, and other respiratory symptoms (besides the cough.)

C. Hampton’s hump is a sign of pulmonary embolism. Given she has no tachypnoea or tachycardia, no reported haemoptysis, no history of immobility and no chest pain,as well as no risk factors like immobility or known malignancy, a pulmonary embolism is unlikely.

D. Kerley B lines are typically present in the case of pulmonary oedema; given a likely absence of paroxysmal nocturnal dyspnoea, orthopnoea, tachypnoea, reduced oxygen saturations, or other relevant findings. Furthermore, she has no relevant cardiac or respiratory  history and is therefore unlikely to be developing pulmonary oedema in the context of being (relatively) asymptomatic.

 

References:

https://www.aafp.org/afp/1998/1201/p2041.html

https://www.mja.com.au/system/files/issues/208_11/10.5694mja17.00610.pdf


The correct answer is: Bilateral hilar lymphadenopathy"
16,Clinical,Hard,"Valerie is a 68 year old woman who has presents to her GP with a 2-week history of intermittent lower back and leg pain. She states the pain is fairly central in her lower back and occasionally goes down the backs of her legs to the soles of her feet. The pain is usually brought on by walking, especially down the hill on her way to work. The pain quickly disappears when she sits down.

Upon further questioning, Valerie also reports some numbness in her legs in association with the pain. She has occasionally felt weak in the legs after walking for a while. There has been no change to her bladder or bowel function.

On examination, Valerie is not tender to palpation over her back or in her legs. Musculoskeletal and neurological examination of the spine and lower limbs is normal. She has good peripheral pulses.

What is the most likely diagnosis?","Select one:

a.
Osteoarthritis of the lumbar spine



b.
Cauda equina syndrome


c.
Spinal canal stenosis


d.
Peripheral vascular disease


e.
Diabetic neuropathy","The correct answer is Spinal Canal Stenosis

Valerie presents with the classic symptoms of back pain and neurogenic claudication (also known as ‘pseudoclaudication’); a syndrome associated with lumbar spinal stenosis. Lumbar stenosis is narrowing of the lumbar spinal canal which puts pressure on the cord or sciatic nerve roots. The mechanism of the claudication and paraesthesia in the legs is ischaemia of the lumbosacral nerve roots secondary to exertional demand. The diagnosis could be confirmed on an MRI of the lumbar spine.

Features of neurogenic claudication include:

-        Dermatomal distribution of pain

-        Association with paraesthesia/weakness of buttock, hip, thigh or leg

-        Positional relief of pain (flexion posture e.g., “shopping cart sign”: relief when leaning forward over shopping trolley)

-        Pain exacerbated by walking downhill (narrows spinal canal)

Neurological examination is often normal.

Treatment may include simple analgesia, corticosteroid injections, or spinal surgery in severe cases.

Distractors:

Osteoarthritis is not consistent with this presentation, although it may be a factor in the pathogenesis of lumbar spinal stenosis.

Cauda equina syndrome is a surgical emergency involving damage to the nerve roots at the caudal end of the spinal cord. Features include back and leg pain in combination with bladder or bowel dysfunction, saddle anaesthesia, decreased muscle tone and deep tendon reflexes in the legs.

Peripheral vascular disease is an important differential diagnosis in this case given the symptoms of intermittent claudication in the legs, however the pain pattern is inconsistent with a vascular origin claudication, and instead is highly suggestive of neurogenic claudication. The below diagram may clarify the key differentiators.



Diabetic neuropathy is not consistent with this clinical presentation.

 

References:

https://www.msdmanuals.com/en-au/professional/musculoskeletal-and-connective-tissue-disorders/neck-and-back-pain/lumbar-spinal-stenosis

https://www.msdmanuals.com/en-au/professional/neurologic-disorders/spinal-cord-disorders/overview-of-spinal-cord-disorders#v1046685


The correct answer is: Spinal canal stenosis"
17,Preclinical,Medium,"June is a 70 year old woman who presents to her GP with pain in her hands and her right knee. The fingers on both hands are affected, and June has also noticed some small lumps appearing on her fingers. The pain is intermittent and has been gradually worsening over the last few months.

The joint pain is worse when June is using her hands/knee, and is partially relieved by rest, although never disappears altogether. June notices her joints are particularly stiff and sore in the morning, although the stiffness seems to get better within about 30 minutes.

June has a family history of arthritis, although she cannot recall which type.

Which is the most likely diagnosis?
","Select one:

a.
Carpal tunnel syndrome


b.
Septic arthritis


c.
Gout


d.
Osteoarthritis


e.
Rheumatoid arthritis","Osteoarthritis is a degenerative condition secondary to wear and tear causing joint destruction. Common joints affected include hands (DIP/PIP joints), knees, hips, C-spine and L-spine. Pain is exacerbated by movement and relieved by rest. Morning stiffness usually resolves within ~30 minutes. The small bumps June describes on her hands are Heberden’s and Bouchard’s nodes - secondary to osteophytic outgrowths causing joint deformity.

Distractors:

Carpal tunnel syndrome is not consistent with this presentation (mechanical joint pain), instead we would expect neurological features of median nerve compression.

Septic arthritis is not consistent with this subacute presentation.

Gout is not consistent with this subacute presentation. This patient does not have risk factors for gout; and the classic joint in a first presentation of acute gout is the first MTP joint (big toe).

Rheumatoid arthritis is an important differential diagnosis in this patient, but can be excluded based on the features of the joint pain - very mechanical-sounding, rather than rheumatological. Rheumatological joint pain classically is relieved by movement and worsened by rest (‘gel phenomenon’); and may onset in a slightly younger population. Morning stiffness is more significant in this disease, classically lasting >/=1hr due to prolonged immobility overnight.




Click here or the image below to access the complete AMSA Osteoarthritis Fact Sheet






References:

https://www.msdmanuals.com/en-au/professional/musculoskeletal-and-connective-tissue-disorders/joint-disorders/osteoarthritis-oa


The correct answer is: Osteoarthritis"
18,Clinical,Medium,"A 65 year old male presents to his GP with complaints of chronic sinus pain and nasal discharge. Upon further questioning, the GP discovers that the patient has had previous episodes of haemoptysis. A urine dipstick finds microscopic haematuria.

Which of the following serological findings would correlate with the suspected diagnosis based on the patient’s clinical picture?","Select one:

a.
c-ANCA



b.
p-ANCA



c.
Anti-dsDNA



d.
ANA


e.
Anti-GBM","The correct answer is c-ANCA.

Sinusitis, haemoptysis and renal involvement point toward a diagnosis of granulomatosis with polyangiitis (GPA, previously known as Wegener granulomatosis).

Although it is not diagnostic, evidence of c-ANCA is a highly sensitive finding for GPA.

Note that a biopsy of affected tissue is required to confirm a diagnosis.

Distractors:

p-ANCA - more commonly seen in microscopic polyangiitis and eosinophilic granulomatosis with polyangiitis (prev. known as Churg-Strauss)

Anti-dsDNA - is a marker more commonly used in diagnosing systemic lupus erythematosus.

ANA - antinuclear antibodies refer to a group of antibodies that attack DNA and histones. An elevated ANA alone is nonspecific and do not point to any one diagnosis, but may suggest autoimmune disease.

Anti-GBM - more commonly seen in Goodpasture’s syndrome, a form of rapidly progressive glomerulonephritis. Although Goodpasture’s syndrome can present with renal involvement and haemoptysis, it is less likely to present with sinusitis.

References:

AMBOSS: Granulomatosis with polyangiitis

https://www.amboss.com/us/knowledge/Granulomatosis_with_polyangiitis

AMBOSS: Antibody diagnosis of autoimmune diseases

https://www.amboss.com/us/knowledge/Antibody_diagnosis_of_autoimmune_diseases

AMBOSS: Rapidly-progressive glomerulonephritis

https://www.amboss.com/us/knowledge/Rapidly_progressive_glomerulonephritis
The correct answer is: c-ANCA"
19,Clinical,Hard,"A 60 year old patient presents to her GP  with difficulty getting out of her chair in the morning, as well as shoulder and hip stiffness. On examination, the GP finds that the patients proximal muscles are wasted. The patient is instructed to take NSAIDs and is sent home. She presents again the next week with a purple rash on her eyes.

What is the likely cause of the patients symptoms?","Select one:

a.
Rheumatoid arthritis

b.
Polymyalgia rheumatica

c.
Dermatomyositis

d.
Duchenne muscular dystrophy

e.
Polymyositis","The correct answer is Dermatomyositis.

Proximal muscle weakness is a characteristic feature of both polymyositis and dermatomyositis, evidenced by a difficulty getting up from a sitting position. The rash describes a characteristic “heliotrope rash” that is often found in dermatomyositis, differentiating it from polymyositis.

Distractors:

Rheumatoid arthritis - although rheumatoid arthritis can present with shoulder and hip stiffness, it is unlikely to affect the proximal muscles. Additionally, it is unlikely to present with a rash.

Polymyalgia rheumatica (PMR) - PMR classically presents with shoulder and hip stiffness and is associated with temporal arteritis. However, PMR is unlikely to present with a rash.

Duchenne muscular dystrophy (DMD) - DMD can present with proximal muscle weakness and wasting. However, it typically presents in young children as opposed to older adults.

Polymyositis - as mentioned above, polymyositis presents similarly to dermatomyositis except that it does not feature skin involvement.

References:

Statpearls: Dermatomyositis and polymyositis

https://www.statpearls.com/kb/viewarticle/20390/

Statpearls: Polymyalgia rheumatica

https://www.ncbi.nlm.nih.gov/books/NBK537274/

AMBOSS: Progressive muscular dystrophies

https://www.amboss.com/us/knowledge/Progressive_muscular_dystrophies
The correct answer is: Dermatomyositis"
20,Clinical,Hard,"Millie, a 74 year old woman, has come with her husband to the GP with pain in her back, leg and arms. She has had chronic back pain from a work-related injury in the past, but, is certain that the leg pain is new. She describes it as intermittent bouts of sustained, aching pains in the middle of her thighs and arms which can sometimes wake her up from sleep. It has gone from 4/10 3 months ago to now 7-8/10 which no relief by 6 Panadol a day.

 As you are about to proceed to examine Millie, her husband states that Millie has also had quite a number of falls and near-falls recently, especially when she’s going to the toilet at night. Upon further questioning, Millie’s husband reveals that she has been going to the toilet almost 2-hourly in the recent weeks and up to 4 times a night. Furthermore, she appears to be struggling to stand up from bed or from a chair and is not able to put up the laundry.

Which of the following investigations is LEAST useful in this situation?","Select one:

a.
CMP, Vitamin D and PTH


b.
TSH, free T3/T4


c.
ESR and CK


d.
ANA, ENAs, Rheumatoid Factor


e.
Serum Electrophoresis, free Light Chains, CT CAP","The correct answer is ANA, ENAs, Rheumatoid Factor.

Whilst a rheumatological process is definitely possible, there is no evidence of multi-system involvement (i.e. constitutional symptoms) or classic cutaneous findings such as ulcers, Raynaud’s, rashes. Therefore, you should not order this test as part of Millie’s initial work-up

 

Distractors:

CMP, Vit. D, PTH - crucial to investigate for hypercalcaemia

TSH, t3/t4 - important to assess for thyroid dysfunction which is an easily missed aetiology

ESR, CK - chronic bone/muscle pain or weakness requires an ESR to check for an inflammatory process. CK will rule out a myositis

SPEP, free light chains, CT CAP - routine screening for multiple myeloma

Urinalysis, 24hr protein collection, ACR - also screening for multiple myeloma

References:

UpToDate - Evaluation of the adult with acute weakness in the Emergency Department
The correct answer is: ANA, ENAs, Rheumatoid Factor"
21,Preclinical,Hard,"Millie, a 74 year old woman, has come with her husband to the GP with pain in her back, leg and arms. She has had chronic back pain from a work-related injury in the past, but, is certain that the leg pain is new. She describes it as intermittent bouts of sustained, aching pains in the middle of her thighs and arms which can sometimes wake her up from sleep. It has gone from 4/10 3 months ago to now 7-8/10 which no relief by 6 Panadol a day.

As you are about to proceed to examine Millie, her husband states that Millie has also had quite a number of falls and near-falls recently, especially when she’s going to the toilet at night. Upon further questioning, Millie’s husband reveals that she has been going to the toilet almost 2-hourly in the recent weeks and up to 4 times a night. Furthermore, she appears to be struggling to stand up from bed or from a chair and is not able to put up the laundry.

 Given the clinical picture, which of the following is the LEAST likely differential diagnosis?
","Select one:

a.
Polymyalgia Rheumatica



b.
Osteoarthritis


c.
Hypothyroidism


d.
Parkinsonism


e.
Hypercalcaemia


f.
Multiple Myeloma","This stem describes an elderly lady presenting with several problems, most prominently:

-        Pain in the bones or muscle

-        Proximal muscle weakness

-        Polyuria

-        Falls

Of these, OA could only potentially account for the bony pain, even then, Millie describes it as the pain being in the femoral/humeral shaft which is unusual for OA



Distractors:

PMR - difficult to exclude without further investigations as any older patient with large joint pains and proximal weakness could have PMR 

Hypothyroidism - easily missed especially in the older population as the more obvious metabolic and mental slowing is more subtle in the elderly. Muscular pain, weakness and falls are key manifestations

Parkinsonism - an important consideration in any elderly patient with weakness/falls/autonomic dysfunction (which could explain her polyuria)

Hypercalcaemia - common and easily missed. Polyuria with bony/muscle pain should alert one to the possibility of hypercalcaemia (the other symptoms are likely secondary to these two primary manifestations)

Multiple Myeloma - key clinical features include hypercalcaemia, acute kidney injury, anaemia, bony pain and mononeuropathies. Suspicion should be raised in any elderly patient with bone pain/weakness, constitutional symptoms and renal findings

 


Click here or the image below to access the complete AMSA Osteoarthritis Fact Sheet






References:

UpToDate - Hypothyroid Myopathy, Approach to the patient with weakness
The correct answer is: Osteoarthritis"
22,Clinical,Medium,"Millie, a 74 year old woman, has come with her husband to the GP with pain in her back, leg and arms. She has had chronic back pain from a work-related injury in the past, but, is certain that the leg pain is new. She describes it as intermittent bouts of sustained, aching pains in the middle of her thighs and arms which can sometimes wake her up from sleep. It has gone from 4/10 3 months ago to now 7-8/10 which no relief by 6 Panadol a day.

As you are about to proceed to examine Millie, her husband states that Millie has also had quite a number of falls and near-falls recently, especially when she’s going to the toilet at night. Upon further questioning, Millie’s husband reveals that she has been going to the toilet almost 2-hourly in the recent weeks and up to 4 times a night. Furthermore, she appears to be struggling to stand up from bed or from a chair and is not able to put up the laundry.

5 days later, Millie is asked to present to the ED by her GP for investigation of a significant hypercalcaemia (Ca 3.12mmol/L, 2.15-2.55). You are a final year medical student on an Endocrinology term and, with your registrar, you go to see Millie.

She is lying in the bay alert and not in any apparent distress. Her vitals are HR 88, BP 130/90, RR 18, SaO2 98% RA, T 37.7.

-        Peripheral examination shows capillary refill 3s, moderately reduced skin turgor and dry mucous membranes.

-        Chest examination reveals dual heart sounds, no murmurs and normal breath sounds.

-        Abdominal examination: SNT, nil organomegaly, bladder non-palpable, kidneys unable to be balloted

-        Moderate bony tenderness over spine and sternum but significantly tender over proximal limbs

-        Nil neurological findings

After taking a thorough history and examination, you report back to the registrar who asks what do you think you should do. Which of the following would be a suitable management plan for Millie?","Select one:

a.
Oral rehydration and, when rehydrated, discharge home with oral analgesics as she only has pain


b.
Admit under Endocrinology team, IV saline, ECG and whole body CT scan



c.
IV saline plus ECG and, if normal, discharge home on analgesia for review with GP in 1 week



d.
Oral rehydration and repeat UEC + CMP. If unchanged, discharge home on pain relief


e.
Admit under Endocrinology team, IV saline, ECG and consideration of IV Pamidronate if Calcium not falling","The correct answer is: Admit under Endocrinology team, IV saline, ECG and whole body CT scan"
23,Preclinical,Hard,"Janice is a 38 year old female who presents to your GP clinic. She presents with pain in her left eye and blurred vision. Examination of the eye reveals an irregular shape of the pupil. Whilst examining her, you notice numerous, plaque-like eruptions on the face and limbs. There is some patchy hair loss to note, as well. Further examination of the lungs reveals diffuse, dry crepitations. An ECG reveals a prolonged PR interval.

Given the likely diagnosis, what blood test results would you expect in Janice?

","Select one:

a.
Elevated Calcium, Elevated PTH



b.
Elevated Calcium, Normal PTH



c.
Normal Calcium, Elevated PTH


d.
Normal Calcium, Normal PTH


e.
Reduced Calcium, Reduced PTH","The correct answer is  Elevated Calcium, Normal PTH (B) is a relatively common finding when investigating sarcoidosis. This haphazard clinical picture is unlikely in actual practice, but would present a picture pointing toward sarcoidosis. Calcium is typically elevated in patients with sarcoidosis, and PTH is not elevated.

To summarise the clinical findings of Janice in the context of sarcoidosis:

She presents with blurred vision and pain in the left eye with the likely presence of synechiae, given the pupillary change. This represents uveitis, one of the ocular manifestations of sarcoidosis.

The plaque-like eruptions and patchy hair loss represents cutaneous manifestations of sarcoidosis, which can be quite disfiguring and distressing.

The respiratory findings show some degree of lung involvement, which may be interstitial lung disease given the dry crackles.

Conduction abnormalities are also common in sarcoidosis, and can cause anything from simple first-degree heart blocks to fatal ventricular tachycardias.

Sarcoidosis is a disease involving abnormal collections of inflammatory cells which involves formation of granulomas. The main cell types noted are macrophages and T-cells, and granulomas can form in the respiratory tract, skin, heart, nervous system and gastrointestinal/genitourinary systems. This leads to sarcoidosis having a wide range of clinical manifestations, ranging from cough, pulmonary hypertension and interstitial lung disease to erythema nodosum and cranial nerve palsies. One subset syndrome of this is Lofgren’s syndrome, consisting of fevers, polyarthralgia, and bilateral hilar adenopathy.

Sarcoidosis is largely a diagnosis of exclusion and numerous strategies are involved to rule out other important differentials. These include CXR, CT chest/abdomen, as well as PET scans and lymphatic biopsies in some cases.

Treatment includes NSAIDs, steroids, and anti-metabolites or biologics in severe cases.

Distractors:

A. Elevated Calcium, Elevated PTH – This would represent likely tertiary hyperparathyroidism and may be seen in the context of Chronic Kidney Disease with hyperplasia of the parathyroid glands.

C.Normal Calcium, Elevated PTH – This is not a usual clinical picture of any particular disease, though may be seen in the context of early primary hyperparathyroidism.

D.Normal Calcium, Normal PTH – Patients with sarcoidosis often have disturbance in serum calcium levels.

E.Reduced Calcium, Reduced PTH – This would usually be seen in hypoparathyroidism, often in the context of removal of the parathyroid glands or infiltration.

 

References:

https://emedicine.medscape.com/article/301914-clinical


The correct answer is: Elevated Calcium, Normal PTH"
24,Clinical,Medium,"Mary is a 35 year old female who presents with retrosternal, burning pain after meals and complains of small, white deposits forming in her skin. She is usually well, besides a history of Hashimoto’s thyroiditis, and has no other complaints at this stage.

On further investigation, her anti-centromere antibody is positive. Her thyroid function tests are within normal limits.

Given the likely diagnosis, what other manifestation could Mary develop?
","Select one:

a.
A large, tender goitre


b.
A violaceous rash centred around the eyes



c.
Bilateral hilar lymphadenopathy


d.
Paroxysmal arterial spasm of the digital vessels



e.
Vertebral body fusion by marginal syndesmophytes
","The correct answer is  Paroxysmal arterial spasm of the digital vessels (D) is Raynaud’s phenomenon, which is a feature of CREST Syndrome in Mary. The five findings in CREST are calcinosis cutis, Raynaud’s phenomenon, oesophageal disorders, sclerodactyly and telangiectasia. Given the signs of oesophageal disorder (with her likely gastro-oesophageal reflux disease) and calcinosis cutis (white deposits in the skin), one’s focus shifts towards CREST Syndrome. The positive anti-centromere antibody further evidences this diagnosis.

 

Distractors:

A.A large, tender goitre – this would usually be seen in the context of thyroid dysfunction (e.g. Grave’s Disease). Given her lack of thyroid dysfunction, this is unlikely. A large, tender goitre might make you suspect a process like subacute thyroiditis, but would typically present with a hyperthyroid or hypothyroid picture.

B. A violaceous rash centred around the eyes ­­– this would usually represent the heliotrope rash classical for dermatomyositis. Mary would usually present, in this case, with proximal muscle weakness and cutaneous manifestations such as the heliotrope rash, shawl sign, or Gottron’s papules.

C. Bilateral hilar lymphadenopathy ­– this is usually a finding in sarcoidosis. As another syndrome which affects numerous body systems, it’s important to consider presentations with symptoms that don’t add up. However, her lack of clear respiratory involvement or other complaints, as well as the positive anti-centromere, points away from this. Furthermore, calcinosis cutis is not usually seen in sarcoidosis.

E. Vertebral body fusion by marginal syndesmophytes – this is called “bamboo spine” radiographically and clinically and is usually related to ankylosing spondylitis. Mary does not complain of systemic symptoms (such as fatigue or weight loss) or the usual arthralgias, inflammatory arthritis, or ocular symptoms.

 

References:

https://emedicine.medscape.com/article/1064663-overview

https://www.orpha.net/consor/cgi-bin/OC_Exp.php?Expert=90290


The correct answer is: Paroxysmal arterial spasm of the digital vessels"
