type,difficulty,topic,question_stem,answer_options,correct_index,correct_text,explanation
Clinical,Hard,"[""Respiratory"", ""Asthma""]","A 25 year old man is brought in by ambulance with an acute asthma attack. On arrival he is hypoxic and receiving high flow supplemental O2, and after back to back salbutamol nebulisers, he is speaking in short phrases only. The following are his serial arterial blood gas results:



Time

pO2

pCO2

pH

8am (on arrival)

80

30

7.5

8.30am

89

39

7.38

9am

100

46

7.34

Ref range

80-100mmHg

35-45mmHg

7.35-7.45



What is the next best step in management?","[""The patient is improving. Cease salbutamol nebulisers and supplemental oxygen."", ""The patient is deteriorating. Call for senior help and prepare for intubation + ventilation."", ""The patient is being over oxygenated. Reduce the oxygen flow rate."", ""The patient is improving. Trial increased time between salbutamol nebulisers."", ""The patient is deteriorating. Call for senior help and increase oxygen flow rate.""]",B,The patient is deteriorating. Call for senior help and prepare for intubation + ventilation.,"Explanation: the most important thing to recognise here is that increasing pCO2 on serial blood gases represents deterioration in the setting of acute asthma. Therefore, answers a-c are incorrect. Rising pCO2 represents deteriorating ventilation as the patient becomes fatigued after breathing very hard for a long time. Therefore, this patient is at risk of ventilatory arrest. Senior help should be sought immediately, and preparation made for intubation and external ventilation (since the person can’t ventilate properly themselves!). Increasing oxygen flow rates will not help with ventilation, making answer e inappropriate. BiPAP is also often used for ventilatory support in acute asthma.

Resources: https://lifeinthefastlane.com/ccc/acute-severe-asthma/ , https://lifeinthefastlane.com/investigations/acid-base/"
Clinical,Easy,"[""Respiratory"", ""Pulmonary Disease"", ""Asthma""]","A 7-year-old girl with a history of cystic fibrosis and chronic productive cough is admitted to hospital for a course of IV antibiotics.

The most likely pathology underlying her respiratory disease is:","[""Enlargement of the airspaces distal to terminal bronchioles accompanied by destruction of alveolar walls"", ""Persistent cough with sputum production for at least 3 months in at least 2 consecutive years"", ""Airway hyperresponsiveness and reversible airflow limitation with bronchial inflammation"", ""Permanent and abnormal dilatation of bronchi and bronchioles due to obstruction or infection"", ""Impairment of the lung\u2019s usual damage repair process, leading to scarring and thickening of the interstitium""]",D,Permanent and abnormal dilatation of bronchi and bronchioles due to obstruction or infection,"Explanation: Patients with cystic fibrosis develop bronchiectasis very early in life. Australian data shows that 50-70% of patients have CT evidence of bronchiectasis by 3-5 years old. Chronic productive cough is a common symptom. Patients often undergo “tune-ups” with courses of prophylactic IV antibiotics in hospital to eradicate colonised bacteria and reduce exacerbations.

The other options represent:

Asthma= Airway hyperresponsiveness and reversible airflow limitation with bronchial inflammation
Bronchiectasis= Permanent and abnormal dilatation of bronchi and bronchioles due to obstruction or infection
COPD=Enlargement of the airspaces distal to terminal bronchioles accompanied by destruction of alveolar walls
Chornic bronchitis= Persistent cough with sputum production for at least 3 months in at least 2 consecutive years
Interstitial lung disease=Impairment of the lung’s usual damage repair process, leading to scarring and thickening of the interstitium
Resource: https://www.nejm.org/doi/full/10.1056/nejmoa1301725"
Clinical,Medium,"[""Respiratory""]","A 15 year old male presents to the emergency department looking dehydrated and severely dyspnoeic with a GCS of 14. The following are his blood gas and urinalysis results:



ABG

Ref range

Urinalysis

pO2

92

80-100mmHg

Ketones ++++

Glucose ++++

Leucs -ve

Nitrites -ve

Protein -ve

Blood -ve

 

pCO2

22

35-45mmHg

pH

7.1

7.35-7.45

HCO3

7

22-26mM

Na

135

135-145

K

5.1

3.5-5

Cl

104

95-105

Lactate

7.7

<1.9

Glucose

35

<7.8

 

What type of acidosis does the patient have?","[""Respiratory acidosis with partial metabolic compensation"", ""Respiratory acidosis without compensation"", ""Metabolic acidosis with partial respiratory compensation"", ""Metabolic acidosis without compensation"", ""Mixed metabolic and respiratory acidosis""]",C,Metabolic acidosis with partial respiratory compensation,"Explanation: pH <7.35 indicates acidaemia. Associated low bicarbonate (HCO3) indicates a metabolic cause (bicarbonate is basic so low levels will cause the blood to become acidotic). The lungs can compensate for this acidosis by blowing off more CO2; therefore, a low pCO2 indicates respiratory compensation is occurring.

Resources: https://www.nps.org.au/australian-prescriber/articles/the-interpretation-of-arterial-blood-gases"
Clinical,Easy,"[""Respiratory"", ""Asthma""]","A 15 year old male presents to the emergency department looking dehydrated and severely dyspnoeic with a GCS of 14. The following are his blood gas and urinalysis results:



ABG

Ref range

Urinalysis

pO2

92

80-100mmHg

Ketones ++++

Glucose ++++

Leucs -ve

Nitrites -ve

Protein -ve

Blood -ve

 

pCO2

22

35-45mmHg

pH

7.1

7.35-7.45

HCO3

7

22-26mM

Na

135

135-145

K

5.1

3.5-5

Cl

104

95-105

Lactate

7.7

<1.9

Glucose

35

<7.8



Which of the following is the best possible explanation for this patient’s presentation?","[""Insulin overdose"", ""Diabetic ketoacidosis"", ""Starvation ketoacidosis"", ""Acute asthma attack"", ""Methanol poisoning""]",B,Diabetic ketoacidosis,"Explanation: Diabetic ketoacidosis (DKA) causes a high anion gap metabolic acidosis associated with elevated glucose and ketones in the urine + elevated blood glucose. It is associated with type 1 diabetes which usually presents in younger patients. Patients in DKA may present dyspnoeic (“Kussmaul breathing”) as they attempt to blow off CO2 as respiratory compensation for the metabolic acidosis. Common associated symptoms in DKA are dehydration, abdominal pain and vomiting. Dehydration can cause poor perfusion of tissues, some tissue/organ ischaemia and hence increased lactate.

Methanol poisoning also causes a high anion gap metabolic acidosis, but the high glucose and high ketones do not fit well with this picture. Insulin overdose and starvation ketoacidosis would be associated with low blood glucose.  An acute asthma attack may initially present with respiratory alkalosis, with pCO2 rising and pH falling as the patient becomes fatigued and unable to ventilate.

Resources: https://www.nps.org.au/australian-prescriber/articles/the-interpretation-of-arterial-blood-gases"
Clinical,Medium,"[""Respiratory""]","A shocked patient presents to the Emergency department. The following are his ABG results:



ABG

Ref range

pO2

55

80-100mmHg

pCO2

29

35-45mmHg

pH

7.11

7.35-7.45

HCO3

10

22-26mM

Na

125

135-145

K

6.6

3.5-5

Cl

90

95-105

Lactate

19.1

<1.9

Glucose

5

<7.8


Which of the following represents the best initial approach for oxygen supplementation in this patient?","[""The patient is at risk of retaining CO2, so O2 sats should be maintained at 88-92%"", ""The patient should be commenced on 1L oxygen via nasal prongs"", ""High flow oxygen via non-rebreather mask should be trialled"", ""The patient requires urgent intubation and ventilation"", ""The patient does not require supplemental oxygen but should have sats monitored""]",C,High flow oxygen via non-rebreather mask should be trialled,"Explanation: this patient is severely hypoxaemic and therefore requires supplemental oxygen at a high flow rate urgently. 1L via nasal prongs is unlikely to be sufficient. A non-rebreather mask is capable of supplying higher flow rates and is readily available in the emergency department. There is no evidence that the patient is a CO2 retainer and presently his pCO2 is low; therefore, this is not of immediate concern. The patient may eventually require intubation and ventilation if oxygenation cannot be sufficiently improved with less invasive methods.

Resource: http://www.partone.lifeinthefastlane.com/supplemental-oxygen.html"
Clinical,Medium,"[""Respiratory""]","A shocked patient presents to the Emergency department. The following are his ABG results:



ABG

Ref range

pO2

55

80-100mmHg

pCO2

29

35-45mmHg

pH

7.11

7.35-7.45

HCO3

10

22-26mM

Na

125

135-145

K

6.6

3.5-5

Cl

90

95-105

Lactate

19.1

<1.9

Glucose

5

<7.8



Which of the following is accurate based on the ABG above?","[""There is a respiratory acidosis"", ""This patient has type 2 respiratory failure"", ""Respiratory compensation is sufficient for the acidosis"", ""The anion gap is normal"", ""An element of renal failure is likely""]",E,An element of renal failure is likely,"Explanation:

Low Na+ and high K+ indicate that an element of renal failure may be occurring.

This patient has type 1 respiratory failure which occurs when there is hypoxia without hypercapnia with an arterial pO2 < 60mmHg. Type 2 respiratory failure is hypoxia + hypercapnia.

 A low pH indicates acidaemia and associated low bicarbonate indicates it is a metabolic acidosis, rather than respiratory acidosis.

The anion gap is normally ~12. It is measured using the anion gap equation: [Na+] – ([Cl]-  + [HCO3-]) which represents the difference between the body’s cations (mostly accounted for by sodium) and measurable anions (chloride and bicarbonate); in this patient the anion gap is 125 – (90 +10)= 25, indicating an increased anion gap. The anion gap can help identify the cause of the acidosis as an increased anion gap metabolic acidosis is associated with different underlying causes compared to a normal anion gap metabolic acidosis (if you are more interested in this look up the mnemonic “MUDPILES” 😊 ).

Respiratory compensation usually occurs with a metabolic acidosis whereby the patient hyperventilates to blow off CO2 causing pCO2 in the blood to fall and help counteract the acidaemia. Respiratory compensation is considered sufficient if the pCO2 is equal to the last 2 digits of the pH. In this case the pCO2 should fall to ~11 (as the pH is 7.11) but is far short of this at 25. Hence the patient is not sufficiently compensating.

Resources: Respiratory compensation for metabolic acidosis: https://www.sciencedirect.com/topics/medicine-and-dentistry/respiratory-compensation , Type 1 respiratory failure: https://bestpractice.bmj.com/topics/en-us/853  https://lifeinthefastlane.com/investigations/acid-base/"
Clinical,Easy,"[""Respiratory"", ""AMSA Pneumonia"", ""Infectious Disease""]","A 62-year-old man is brought to the Emergency department by his wife with a 2 day history of right sided chest pain, cough, fever and rigors. He is drowsy on arrival. His vital signs are: HR 130, BP 135/90, RR30, O2 88% on RA and temp 38.2. On examination he has crackles in the left base. He is a non-smoker and is normally fully functional at home.

The most likely pathogen causing his illness is:","[""Streptococcus pyogenes"", ""Haemophilus influenzae"", ""Moraxella catarrhalis"", ""Staphylococcus aureus"", ""Streptococcus pneumoniae""]",E,Streptococcus pneumoniae,"Explanation: this patient’s presentation is consistent with community acquired pneumonia (chest symptoms, febrile, low O2 sats, tachypnoea). The commonest bacterial cause is streptococcus pneumoniae. Other causes of typical community acquired pneumonia are H influenzae and Moraxella catarrhalis. Streptococcus pyogenes is not usually associated with pneumonia. Staph aureus may cause pneumonia.

Resource: https://emedicine.medscape.com/article/234240-overview#a1




Click here or the image below to access the complete AMSA Pneumonia Fact Sheet"
Clinical,Hard,"[""Respiratory""]","A 62-year-old man is brought to the Emergency department by his wife with a 2 day history of right sided chest pain, cough, fever and rigors. He is drowsy on arrival. His vital signs are: HR 130, BP 135/90, RR30, O2 88% on RA and temp 38.2. He has a background of hypertension, ischaemic heart disease and reflux, as well as a 20-pack year smoking history.

Which of the following is the LEAST helpful investigation in this patient?","[""Sputum culture\n\n\nb.\nFull blood count\n\n\nc.\nUrea, electrolytes and creatinine\n\n\nd.\nChest X-ray\n\n\ne.\nBlood gases""]",,Sputum culture,"Explanation: Sputum microscopy, culture and sensitivity is low yield as it is difficult to obtain a good sample, a range of commensals/contaminants are often grown, and it take a few days for a result to come back. Therefore, sputum is rarely helpful in identifying the causative organism. Chest x-ray is the most important investigation in confirming diagnosis. Blood gases are helpful to quickly identify the presence of respiratory failure. PaO2 and pH obtained from the blood gas, as well as urea levels form part of severity scoring systems such as SMART-COP and CURB-65. These scoring systems are useful for assessing prognosis and the need for hospital or ICU admission.  Full blood count identifies white cell count and neutrophilia which can be monitored over time to assess improvement.

Resource: Sputum culture: https://www.medscape.org/viewarticle/489217 , https://bestpractice.bmj.com/topics/en-us/17"
Clinical,Easy,"[""Respiratory"", ""Infectious Disease""]","A 75-year-old man is admitted to hospital with community-acquired pneumonia. Despite receiving IV antibiotics, the patient has not improved in 3 days. He continues to be febrile with rigors, is requiring supplemental oxygen and his drowsiness is worsening. On examination he has reduced air entry at the right base with dullness to percussion. His CXR shows the following

Source: Case courtesy of A.Prof Frank Gaillard, <a href=""https://radiopaedia.org/"">Radiopaedia.org</a>. From the case <a href=""https://radiopaedia.org/cases/15389"">rID: 15389</a>
Based on this imaging, what is the MOST LIKELY explanation for this patient’s failure to respond to antibiotics?","[""The patient has right lower lobe collapse"", ""An empyema has developed"", ""The pneumonia is viral"", ""The patient has an underlying lung malignancy"", ""The pneumonia is fungal""]",B,An empyema has developed,"Image source: Case courtesy of A.Prof Frank Gaillard, <a href=""https://radiopaedia.org/"">Radiopaedia.org</a>. From the case <a href=""https://radiopaedia.org/cases/15389"">rID: 15389</a>

 

Explanation: Empyema is a complication of pneumonia (usually bacterial pneumonia) and is defined as pus in the pleural space. It is an exudative pleural effusion as can be seen on the above X-rays where the right hemidiaphragm is raised and costophrenic angle is lost. Antibiotics alone are usually insufficient to manage this, and drainage is required. This explanation is more likely than fungal or viral pneumonia. There is no indication at this stage that the patient has malignancy, although 40 pack year smoking history is a risk factor and malignancy can cause pleural effusions. The right lower lobe has likely collapsed but this alone would not explain ongoing fevers, rigors and drowsiness.

Resource: https://radiopaedia.org/cases/pleural-empyema, https://emedicine.medscape.com/article/807499-clinical#b4"
Clinical,Medium,"[""Respiratory"", ""Infectious Disease""]","A 75-year-old woman is admitted to ICU with severe pneumonia.  Chest x-ray shows she has developed a pleural effusion and a diagnostic tap is performed.

Which of the following lab findings would be MOST consistent with the effusion being an empyema?","[""Pleural LDH 50U/L, serum LDH 120U/L"", ""Pleural protein 30g/L, serum protein 70g/L"", ""Pleural protein 40g/L, serum protein 60g/L"", ""Pleural protein 30g/L, serum protein 60g/L"", ""Pleural LDH 60U/L, serum LDH 120U/L""]",C,"Pleural protein 40g/L, serum protein 60g/L","Explanation: An empyema is an exudative effusion. This question relates to Light’s criteria for differentiating exudative from transudative pleural effusions. An exudate is highly likely if any one of the criteria is present:

-          Pleural to serum protein ratio >0.5

-          Pleural to serum LDH ratio >0.6

-          Pleural fluid >2/3 upper normal limit of serum LDH

The pleural to serum protein ratio in b) is 40/60= 0.66 which meets the first of Light’s criteria. Calculating the ratios in a) 0.5 c) 0.42, d)0.42 and e)0.5 do not meet any of the criteria.

Resource: https://www.mdcalc.com/lights-criteria-exudative-effusions"
Clinical,Easy,"[""Respiratory"", ""Shortness of Breath"", ""Vascular Disease""]","You are an intern on the orthopaedic ward looking after a 72 year old lady who is day 5 post right total hip replacement. She had a post-op wound infection and limited mobility since the surgery. You are called to see her as she has become acutely short of breath with pleuritic chest pain. Her vital signs are RR18, O2 96% on RA, HR96, BP 120/70, temp 36.8deg. On examination you observe that her entire right leg is swollen and tender to palpation.

The most useful diagnostic investigation in this patient is:","[""CT pulmonary angiogram"", ""VQ scan"", ""ECG"", ""D-dimer"", ""Bedside echocardiogram""]",,CT pulmonary angiogram,"Explanation: This patient has clinical evidence of a pulmonary embolism (pleuritic chest pain, SOB, evidence of deep vein thrombosis with tender swollen leg). Recent surgery is a major risk factor for PE, particularly hip/knee replacements and major abdo/pelvic surgery. The Wells score may be used to clinically assess the risk of PE. The best diagnostic investigation in a hemodynamically stable patient with a high risk of PE is a CT pulmonary angiogram. VQ scan may be used if CTPA is contraindicated (eg: in pregnancy, contrast allergy). Bedside echocardiogram is used for diagnosis in hemodynamically unstable patients who are too unwell to move for imaging; Echo may also be used in addition to CTPA or VQ scan to assess the impact of the PE on right ventricular function . An ECG should be obtained as part of the work up as it will help assess for differential diagnoses or show non-specific signs of PE ( such as sinus tachycardia, right ventricular strain). D-dimer is generally done only in patients with low clinical risk of PE; a negative D-dimer rules out PE in low risk patients.

Resource: https://lifeinthefastlane.com/ccc/pulmonary-embolism/


Click here or the image below to access the complete Shortness of Breath Fact Sheet"
Clinical,Easy,"[""Respiratory""]","You are an intern on the orthopaedic ward looking after a 72 year old lady who is day 5 post right total hip replacement. She had a post-op wound infection and limited mobility since the surgery. You are called to see her as she has become acutely short of breath with pleuritic chest pain. Her vital signs are RR18, O2 96% on RA, HR96, BP 120/70, temp 36.8deg. On examination you observe that her entire right leg is swollen and tender to palpation.

An ECG is obtained and handed to you:

https://i0.wp.com/lifeinthefastlane.com/wp-content/uploads/2011/12/sinus-tachycardia.jpg?ssl=1","[""Sinus tachycardia"", ""Right axis deviation"", ""Ventricular tachycardia"", ""Right bundle branch block"", ""Normal ECG""]",,Sinus tachycardia,"Explanation: The heart rate on a standard ECG with paper speed 25mm/sec can be calculated as follows: 300 divided by number of large squares between QRS complexes or total number of QRS complexes on the rhythm strip x 6. In this case the heart rate is approximately 300/2= 150bpm or 26 x 6 = 156. Therefore,  the patient is tachycardic (HR>100). As a P wave is present before every QRS complex, this is a sinus tachycardia. Sinus tachycardia is the commonest ECG finding in PE.  Ventricular tachycardia is associated with broad QRS complexes (greater than 120mm or 3 small squares). Right axis deviation, right bundle branch block and right ventricular strain are other possible ECG abnormalities seen in PE. There are no QRS complex abnormalities in the right precordial leads V1-3 suggestive of right bundle branch block. Leads I and II are positive indicating a normal axis.

Resource: https://lifeinthefastlane.com/ecg-library/pulmonary-embolism/"
