source_file,type,difficulty,topic,question_stem,answer_options,correct_index,correct_text,explanation
16. Obstetrics & Gynaecology_Gynae_2.csv,Clinical,Easy,"[""obstetrics & gynaecology""]","A 26-year-old female presents to her GP for her first cervical screening test (CST).
On history, the woman confirms that she received all doses of the Gardasil vaccine when she was in high school. She is currently sexually active and taking the combined oral contraceptive pill. She has not noticed any abnormal vaginal bleeding or discharge..
The CST is sent off to pathology and returns a positive result for HPV that is non-HPV 16/18. The subsequent reflex liquid-based cytology (LBC) detected low-grade squamous intraepithelial lesion (LSIL).
Based on this information, what is the appropriate follow-up for this woman?","[""Cervical screening test in 5 years"", ""Cervical screening test in 12 months"", ""Retest within 6 weeks"", ""Refer for colposcopy"", ""Cervical screening test in 6 months""]",B,Cervical screening test in 12 months,
6. Endocrinology_Endo_3.csv,Preclinical,Hard,"[""endocrinology""]","Mary is a 35 year old woman who presents to your clinic with a neck lump. She states that she first noticed the lump ~1-2 months ago and thought it would disappear on its own but instead it has grown slightly bigger in that time. She denies any heat & cold intolerance, excessive sweating, constipation and hair loss. She does report increasing fatigue, loss of appetite and unintentional weight loss.
On examination you see a small, thin lady that is appropriately dressed for the weather outside. You do not notice any gross neck lumps but on closer examination you do see a ~3cm lump on the middle-anterior portion of her neck. The lump is hard, irregularly shaped and immovable while the rest of the physical examination is unremarkable.
You decide to send her for an ultrasound of her neck which displays calcification, irregular margins, taller-than-wider shape and hypervascularity which is then biopsied and the report comes back stating that ""orphan-annie cells"" & ""psammoma bodies"" were visualised under the microscope.
What is the MOST LIKELY diagnosis for Mary?","[""Follicular carcinoma of the thyroid"", ""Anaplastic carcinoma of the thyroid"", ""Graves disease with associated goitre"", ""Hurthle cell carcinoma"", ""Papillary carcinoma of the thyroid""]",E,Papillary carcinoma of the thyroid,
16. Obstetrics & Gynaecology_Obstetrics_2.csv,Clinical,Medium,"[""obstetrics"", ""obstetrics & gynaecology""]","A 28 year old woman presents to the General Practitioner with a positive home pregnancy test. You confirm the pregnancy on a urine sample and begin normal pregnancy counselling. She has a history of bipolar disorder which is well controlled on lithium, as well as iron deficiency anaemia for which she takes iron tablets. She does not have any other medical conditions and is not on any other medications. She does not smoke or drink, and is financially well supported.
What, if any, changes to medications should be made?","[""No changes are necessary"", ""Stop Lithium"", ""Stop Lithium and start Sodium valproate"", ""Stop Lithium and start Lamotrigine"", ""Stop Lithium and start Setraline""]",D,Stop Lithium and start Lamotrigine,
11. Dermatology_Dermatology_2.csv,Clinical,Easy,"[""dermatology"", ""psoriasis""]","A 28 year old female presents to her general practitioner complaining of the appearance of new skin lesions. They have been appearing in areas where she has scratched, and appear as straight lines. She has never experienced skin lesions in these areas before.  She is new to the practice so you do not have her past history, however she states she suffers from a dermatological condition for which she cannot remember the name. 
On examination, you examine the new lesions and see that they are small, slightly raised erythematous lesions with some white scaling and a mostly linear pattern. You report to the patient that these are examples of the Koebner phenomenon .
Which of the following lesions does this patient most likely have?","[""Eczema"", ""Cellulitis"", ""Scabies"", ""Psoriasis"", ""Lichen sclerosus""]",D,Psoriasis,
6. Endocrinology_Endo_3.csv,Clinical,Hard,"[""endocrinology""]","A 3-year-old boy visits the refugee health clinic for a check-up. He has a poor appetite, with a diet mainly based on rice and cassava.
Upon examination, you notice he has oedematous lower limbs, a distended abdomen and thinning hair.
What is the most likely diagnosis?","[""Marasmus"", ""Kwashiorkor"", ""Rickets"", ""Scurvy"", ""Coeliac disease""]",B,Kwashiorkor,
3. Cardiology_Cardio_3.csv,Clinical,Medium,"[""cardiology""]","A 75 year old man comes into the ED complaining of shortness of breath. He notes the shortness of breath is worse when he tries to sleep. His past medical history includes type 2 diabetes, congestive cardiac failure and osteoarthritis of both knees.
His vital signs are:
RR 26, O2 94%, HR 110, Temp 37.4 degrees, BP 140/95, BSL 5.6
He appears generally alert and calm, and examination is unremarkable aside from bibasal crepitations on chest auscultation.
What is the most appropriate immediate management of this patient?","[""Oral frusemide"", ""IV frusemide"", ""IV frusemide and IV morphine"", ""IV frusemide, IV morphine and BiPAP"", ""IV frusemide, IV morphine and CPAP""]",B,IV frusemide,
12. Surgery & Anatomy_Surgery_1.csv,Clinical,Hard,"[""neck lump"", ""surgery"", ""surgery & anatomy""]","Mr Marshall Underwood, a 67 year old pensioner, has been referred to a surgical outpatient clinic from his general practitioner with a 1 month history of a neck lump, consistent with a solitary thyroid nodule. The GP had organised a neck ultrasound and fine needle aspiration, which classified the nodule as malignant, measuring 3.5cm in diameter.
Mr Underwood successfully undergoes surgery within the next week, with no intra-operative complications occurring. One day following his total thyroidectomy, he becomes extremely short of breath and is having difficulty breathing. On examination, he is clearly in respiratory distress, is sweating profusely, his oxygen saturation is 91% on 5L of oxygen via Hudson mask and pulse rate is 122 beats per minute. What would be your first step in management?","[""Give broad spectrum antibiotics"", ""give propranolol and propylthiouracil"", ""Intubate and call the anaesthetist for definitive airway management"", ""Open surgical wound and drain"", ""Urgently call the surgeon to take back to theatre""]",D,Open surgical wound and drain,
4. Respiratory_Respiratory_4.csv,Preclinical,Easy,"[""curb65"", ""respiratory""]","Morgana is a 65 year old woman who presents to the emergency department with worsening shortness of breath. She reports that her symptoms started a couple of days ago after spending some time with her grandson. Upon further questioning, she reports having a fever and some mild chest pain as well. She also reports bringing up some green-ish sputum a few days ago. 
On examination, her temperature is 38.9 degrees, heart rate is 140bpm, respiratory rate of 35 breaths per minute with a blood pressure of 100/90. Respiratory examination elicits bronchial breath sounds at the lower left lobe with dull percussion sounds as well.
What is the BEST SCALE that can be used to guide your management of this patient?","[""CENTOR"", ""CURB 65"", ""Wells Score"", ""Ranson Score"", ""PHQ -9""]",B,CURB 65,
5. Gastroenterology_Gastroenterology_4.csv,Clinical,Medium,"[""gastroenterology"", ""gi bleeding""]","A 68 year old retired accountant presents to her GP complaining of blood in the stools. It is usually mixed with her stools and is dark red. She denies any abdominal pain or pain when passing stools. She has however, noticed a change in her bowel habits with loose motions over the past month.  This is associated with fatigue and weight loss of 5 kg in the last two months which she thinks is due to her recently reduced appetite. 
She has had colonoscopies in the past, the most recent one being about 6 years ago which she states that it did not reveal anything suspicious. Her past medical history includes gallstones requiring laparoscopic cholecystectomy 20 years ago, appendicitis as a teenager and ulcerative colitis. She also reports the history of bowel cancer in her father, diagnosed at age 70 and breast cancer in her mother. She smokes 10 cigarettes a day for the last 40 years and drinks socially. 
Her blood test results showed iron-deficiency anaemia. 
What is the most likely diagnosis?","[""Diverticulitis"", ""Peptic ulcer"", ""Haemorrhoids"", ""Angiodysplasia"", ""Colorectal carcinoma""]",E,Colorectal carcinoma,
12. Surgery & Anatomy_Ophthal_1.csv,Clinical,Medium,"[""ophthalmology"", ""rosacea"", ""surgery & anatomy""]","A 35 year old patient presents to her GP with painful eyes. She describes the pain as a burning, gritty sensation that has been progressively getting worse over the past few weeks. On examination, the GP finds crusting of the lid margins but does not note any erythema or irritation of the eye itself. 
Which of the following is a risk factor for the development of this condition?","[""Trauma"", ""Rosacea"", ""Contact lenses"", ""Pregnancy"", ""History of atopic disease""]",B,Rosacea,
12. Surgery & Anatomy_LL___Spine.csv,Clinical,Easy,"[""ll"", ""neuropathy"", ""spine"", ""surgery & anatomy""]","Adrian, a 45-year-old man presents to his GP with bladder 
dysfunction and perianal anaesthesia. His medical history reveals a 
previous diagnosis of ankylosing spondylitis. Upon examination, the GP 
notices that he also has marked lower limb weakness. Thus, they come to 
the conclusion that Adrian is likely to be suffering from a neurological
 disorder. Based on these signs and symptoms, which is the most likely 
diagnosis?","[""Spinal cord compression"", ""Spina bifida occulta"", ""Cauda equina syndrome"", ""Vagus nerve damage"", ""Sciatic neuropathy""]",C,Cauda equina syndrome,
11. Dermatology_Dermatology_1.csv,Clinical,Medium,"[""analgesia"", ""dermatology""]","Sarah is a 23-year-old female who presented to the emergency department after she sustained a burn to her left forearm whilst cooking. The affected area is erythematous and blanches to pressure. There are a few pale pink blisters over the anterior forearm. She has run her forearm under water before coming to the emergency department. She is hemodynamically stable but complaining of significant levels of pain.  
What is the appropriate management?","[""Admit to the hospital and monitor"", ""Analgesia and dressing then discharge home"", ""Fluid resuscitation as per the Parkland formula"", ""Involve the social worker over fears of non-accidental injury"", ""Transfer to a specialised burn unit""]",B,Analgesia and dressing then discharge home,
12. Surgery & Anatomy_Ophthal_3.csv,Clinical,Medium,"[""ophthalmology"", ""surgery & anatomy""]","A 70-year-old man presents to the GP after a fall. He did not lose consciousness or have any visible injuries but his daughter is concerned that he is becoming more clumsy recently. He reports loss of vision prior to the fall. He did not have syncope, chest pain, shortness of breath, or changes in sensation in his legs. Prior to this incident he has had months of gradual changes to his vision that he is unable to describe but he has noticed difficulty reading and watching TV. He has a history of hypertension and has a 30 pack-year history of smoking. 
Upon examination he has loss of central vision and the ophthalmoscope exam reveals: 
<INSERT IMAGE HERE>
Source: Geeky Medics
What is the most likely diagnosis?","[""Chronic open angle glaucoma"", ""Dry Macular Degeneration"", ""Hypertensive retinopathy"", ""Wet Macular Degeneration"", ""Retinal detachment""]",B,Dry Macular Degeneration,
7. Neurology_Neuro_3.csv,Preclinical,Medium,"[""neurology""]","A 23 year old man has been experiencing back pain for the past couple of days. He is a previously healthy man who is very active, playing a number of sports and enjoying a lively social life at university. Prior to this back pain, he was completely stable from a medical perspective.
Which of the following features of his pain would require immediate transfer to hospital?","[""Tenderness to palpation"", ""Radiation of sharp pain down the legs"", ""Loss of sensation around the perineum"", ""Early morning stiffness that improves with exercise"", ""Pain on movement""]",C,Loss of sensation around the perineum,
12. Surgery & Anatomy_Surgery_2.csv,Clinical,Medium,"[""anal tumour"", ""surgery"", ""surgery & anatomy""]","A 65 year old man presents to his GP with rectal bleeding. Following investigations, imaging shows a mid-rectal tumour graded as T3N0M0. What is the most appropriate surgical option for this patient?","[""Abdominoperineal resection"", ""Total Colectomy"", ""Low Anterior Resection"", ""Left hemicolectomy"", ""Right hemicolectomy""]",C,Low Anterior Resection,
2. Revision Quizzes_Surgery___Anatomy.csv,Preclinical,Medium,"[""anatomy"", ""revision quizzes"", ""subscapularis"", ""surgery""]","Daryl, a 43-year-old painter, presents to his GP with pain in his shoulder that had slowly been getting worse over time. He mentions that this pain tends to reach its peak while he is at work, but is still present in a more dull fashion throughout the day. The GP immediately suspects that Daryl is suffering from rotator cuff tendinitis, and wants to identify the muscle which is causing him pain. Daryl, upon being examined, winces when performing the Lift-Off test, which involves internal rotation of the shoulder. Which rotator cuff muscle is most likely to be affected?","[""Supraspinatus m."", ""Subscapularis m."", ""Teres minor m."", ""Infraspinatus m."", ""Biceps brachii m.""]",B,Subscapularis m.,
12. Surgery & Anatomy_H_NNeuroanatomy.csv,Preclinical,Easy,"[""h"", ""neurology"", ""stroke"", ""surgery & anatomy""]","A 64-year-old man presents to the ED with weakness in his right leg and a headache. A history and examination are performed, and he is diagnosed with having suffered a stroke in one of the arteries supplying the brain. Taking his presenting complaint into account, which of the following arteries is most likely to have been affected?","[""Left posterior cerebral artery"", ""Left anterior cerebral artery"", ""Right anterior cerebral artery"", ""Left middle cerebral artery"", ""Right middle cerebral artery""]",B,Left anterior cerebral artery,
15. Acute Care & Emergency_Acute_Care___Emergency_2.csv,Clinical,Hard,"[""acute"", ""acute care & emergency"", ""care"", ""cmp"", ""emergency""]","You are the emergency registrar working in a busy ED. Mr. Thompson is a 70 year old male brought in by his wife who has presented with confusion. His wife reports that he has had increasing confusion over the last 3 days on a background of becoming slowly disoriented to place and time. In addition, she has noted that he has been unable to open his bowels for the last week and has lost 10 kilograms of weight over the last year. His past medical history is relevant for two recent admissions for renal calculi which was managed conservatively and otherwise he has no relevant medical history and takes no medications. He is a smoker with a 20 pack year history and drinks 2-3 stubbies of beer a night.
On examination, his vitals are all within the normal limits and he is afebrile. His heart sounds are dual with no murmur and his chest is clear. His abdomen is soft and non-tender, with palpable faeces in the left lower quadrant. You also note some mild tenderness over his spine and clavicles.
Which of the following preliminary investigations is likely to be the most useful in reaching a diagnosis?","[""CMP"", ""FBE"", ""TSH"", ""UEC"", ""AXR""]",A,CMP,
12. Surgery & Anatomy_Surgery_4.csv,Clinical,Easy,"[""surgery"", ""surgery & anatomy""]","A 25-year-old man has undergone a proctocolectomy for ulcerative colitis and reduction of colorectal cancer risk. He is currently post-op day 6 and has developed a fever of 38.5 degrees. He complains of increasing abdominal pain and distension over the last 24 hours.
On physical examination he is febrile and tachycardic. There is purulent discharge from his incision and it is tender to palpation. There is abdominal distension and widespread tenderness on palpation with guarding, rigidity and rebound tenderness. His chest is clear and heart sounds are dual with no murmurs.
Lab results:
Urinalysis: Negative
Urine MCS: Negative
FBE: Normal
ESR: Elevated
CRP: Elevated
Blood cultures: Negative
Incision site swab: Pending
What is the most likely cause of his postoperative fever?","[""Surgical site infection"", ""Wound dehiscence"", ""Atelectasis"", ""Anastomotic\\nleak"", ""Catheter associated urinary tract infection""]",D,Anastomotic\nleak,
3. Cardiology_Cardio_4.csv,Clinical,Medium,"[""cardiology"", ""dvt"", ""pe""]","Danica is a 66 year old retired businesswoman who presents to the Emergency Department with shortness of breath and pain on inspiration. Danica’s past medical history includes lung cancer which is currently active but is being treated with chemotherapy. Apart from the chemotherapy, Danica takes salbutamol as needed and ipratropium on a daily basis as her preventer. She takes no other medications. Danica has smoked a pack of cigarettes a day since she was 20 and has cut down but has not completely quit yet. She does not drink alcohol. There is no family history of note. Danica has spent more time at home on the couch recently due to social distancing and lockdown precautions as a result of COVID-19. 
On examination, Danica’s vital signs are as follows: HR: 105 BPM, RR: 18, BP 125/80, Temp: 36.5˚C, SaO2: 97% Room Air. She also appears to have some work of breathing. 
What is the most likely finding expected on the ECG trace?","[""Inverted T waves"", ""S waves in Lead I"", ""Sinus Tachycardia"", ""Atrial Fibrillation"", ""Peaked T Waves""]",C,Sinus Tachycardia,
9. Nephrology & Urology_Nephrology___Urology_1.csv,Clinical,Easy,"[""nephrolithiasis composition"", ""nephrology"", ""nephrology & urology"", ""urology""]","A 54-year old man presents to emergency with acute, severe right-sided flank pain that radiates to the ipsilateral groin. He has a past medical history significant for gout. He is afebrile.
After several investigations in ED, he was diagnosed with acute nephrolithiasis. His CT scan revealed a radiolucent stone. The 4mm reddish-brown stone was passed with the help of IVF and pain medications, and a stone analysis was sent off. 
What is the stone likely composed of?","[""Calcium Oxalate"", ""Calcium Phosphate"", ""Struvite"", ""Uric Acid"", ""Cysteine""]",D,Uric Acid,
3. Cardiology_Cardio_5.csv,Clinical,Easy,"[""cardiology""]","A 65 year old male presents with shortness of breath on exertion. 
He has an ejection systolic murmur that radiates to the carotids and increases in intensity on squatting on examination. At rest, he does not experience any pain in the chest, or any shortness of breath. He currently takes sertraline for his depression, and metformin 1g bi-daily for his diabetes. 
The most likely cause of his shortness of breath and murmur is:","[""Mitral regurgitation"", ""Aortic Stenosis"", ""Aortic Regurgitation"", ""HOCM"", ""Coarctation of the aorta""]",B,Aortic Stenosis,
12. Surgery & Anatomy_Ophthal_2.csv,Clinical,Medium,"[""foreign body"", ""ophthalmology"", ""surgery & anatomy""]","A 49 year old gardener comes into the emergency department complaining that he thinks some particles may have gone into his eye. He says he is having some mild pain whenever he blinks with his right eye and that it is quite teary.  
On examination, his right eye is visibly red, and a small foreign body is seen near the outer edge of the cornea. The rest of the eye is normal. Fluorescein dye is dropped into the eye and visualised through an ophthalmoscope and it shows a small abrasion around the location of the foreign body.
What is the most appropriate management for this patient?","[""Remove with cotton bud"", ""Remove with 25g needle"", ""Refer urgently to ophthalmologist"", ""Corticosteroid eye drops"", ""Chloramphenicol eye drops""]",B,Remove with 25g needle,
16. Obstetrics & Gynaecology_Obstetrics_2.csv,Clinical,Medium,"[""obstetrics"", ""obstetrics & gynaecology"", ""ogtt""]","May, a 41-year-old lady of Chinese ethnicity who is 24 +3 weeks pregnant, presents to the antenatal clinic for routine review. This is her second pregnancy and she has a son who is now 4 years old who was born by Caesarean section due to his big size at term, measuring 4.6kg. May reports that she has gained quite a bit of weight during this pregnancy. She has a family history of Type 2 diabetes mellitus on her maternal side but denies having been diagnosed with diabetes herself. She also reports that her morphology scan at 20 weeks was normal. 
Upon examination, her fundal height measured 30 cm and the fetus heart rate was 148 beats per minute.
What is the most appropriate next step in managing Mary ?","[""Non-invasive prenatal test"", ""Urinalysis"", ""Iron infusion"", ""Amniocentesis"", ""Oral Glucose Tolerance Test""]",E,Oral Glucose Tolerance Test,
3. Cardiology_Cardio_4.csv,Preclinical,Medium,"[""cardiology""]","A 63 year old man presents to his GP with lethargy and breathlessness over the last 3 weeks. He notes that he is especially breathless when walking his dog and moving things around his house and is also having difficulty sleeping because he finds himself constantly waking up gasping for air. He has had no cough or recent fever symptoms. He also notes some chest discomfort but denies chest pain and pain on breathing. He also says he has felt his heart racing although denies any recent stress or anxiety-inducing activities. He has not experienced these symptoms before this episode.
He has a past history of hypertension and ischaemic heart disease and is currently on enalapril, metoprolol and atorvastatin. He also has mild rheumatoid arthritis and is a long-term smoker. He is up to date with his vaccinations.
On examination, he is afebrile with a BP of 110/85 and a regular pulse. His jugular venous pressure can be seen 5cm above the sternal angle and on auscultation, he has normal heart sounds with occasional bi-basal crackles which persist after coughing. There is also mild ankle oedema.
What is the most likely diagnosis?","[""Pneumonia"", ""Acute coronary syndrome"", ""Chronic obstructive pulmonary disease (COPD)"", ""Acute pulmonary oedema"", ""Congestive heart failure""]",E,Congestive heart failure,
9. Nephrology & Urology_Nephrology___Urology_3.csv,Clinical,Easy,"[""nephrology"", ""nephrology & urology"", ""urology""]","James, a 25-year-old man, was admitted to the Burns Unit after sustaining third degree burns from a house fire. He has been provided appropriate fluid management, however, his urine output is currently 18ml/hour.
A blood test reveals rising serum creatinine and urea levels.
Which of the following complications is James most at risk of developing?","[""Respiratory acidosis"", ""Restlessness"", ""Hypophosphatemia"", ""Hyperkalaemia"", ""Metabolic alkalosis""]",D,Hyperkalaemia,
8. Haematology_Haematology_2.csv,Clinical,Medium,"[""haematology"", ""itp""]","A 7 year old girl is brought into the emergency department by her mother with a large bruise over her eye. Her mother states that she heard her daughter run into a door, however she did not witness it so she does not know how severe it was.  She feels the bruise is quite large and is quite worried. The patient has no other medical history and is not taking any medications, however her mother states she does experience recurrent nose bleeds which are very inconvenient.
On examination, there is a large purple bruise around the eye. There are also multiple petechial lesions over the body.  
Blood tests show:
Haemoglobin 140g/L (normal: 132-166 g/L)
White Cell Count 7.2x109/l (normal: 4-11 x109/l)
Platelets 8x109/l (normal: 150-400 x109/l)
Which of the following is the most likely diagnosis?","[""Immune thrombocytopaenic purpura"", ""Leukaemia"", ""Haemolytic Uraemic Syndrome"", ""Henoch-Schoenlein Purpura"", ""Meningococcal Disease""]",A,Immune thrombocytopaenic purpura,
9. Nephrology & Urology_Nephrology___Urology_1.csv,Preclinical,Hard,"[""nephrology"", ""nephrology & urology"", ""renal artery stenosis"", ""urology""]","Gary is a 64yo male who is a volunteer patient for an ultrasound course. He is a long-term smoker who has known hypercholesterolaemia. Imaging of his renal arteries reveals significant bilateral stenosis. After some concerns from students and instructors, he is advised to see his GP. 
At the consult, his blood pressure is found to be 170/100. The GP starts him on the appropriate first-line medication for his condition and asks him to return in a week with a blood test to assess his kidney function.
Which medication did the GP prescribe?","[""Aspirin"", ""Atorvastatin"", ""Nifedipine"", ""Perindopril"", ""Warfarin""]",D,Perindopril,
2. Revision Quizzes_Psychiatry.csv,Clinical,Medium,"[""depression"", ""psychiatry"", ""revision quizzes""]","Miss Emily-Rose Hicks is a 32 year old primary school teacher who presents to her General Practitioner with a recent history of sleep disturbance and some anxiety around her work, and she has found herself taking days off work to cope. On further questioning she has lost interest in going out on weekends and is no longer going to yoga classes which she used to regularly attend. She also reports some difficulty concentrating and has experienced some passive thoughts of death, but no active suicidal ideation. She separated from her partner 2 months ago, and is living with her 2 children, who are 3 and 5 years old. Her only regular medication is the combined oral contraceptive pill, which she has been taking for the last 2 years and she is hesitant to take any other medication. On examination, her BMI is 29.2, her blood pressure is 128/80mmHg and pulse rate 88 beats per minute. Which of the following clinical features should you assess in this patient, which would alter her treatment?","[""Combined anxiety disorder"", ""Family history of schizophrenia"", ""Previous manic episode"", ""Recent bereavement"", ""Height and weight""]",C,Previous manic episode,
